model,layer,feature_ind,importance
InceptionV1,mixed5a,0,-6
InceptionV1,mixed5a,1,79
InceptionV1,mixed5a,2,8
InceptionV1,mixed5a,3,-8
InceptionV1,mixed5a,4,18
InceptionV1,mixed5a,5,0
InceptionV1,mixed5a,6,75
InceptionV1,mixed5a,7,11
InceptionV1,mixed5a,8,4
InceptionV1,mixed5a,9,1
InceptionV1,mixed5a,10,28
InceptionV1,mixed5a,11,29
InceptionV1,mixed5a,12,36
InceptionV1,mixed5a,13,1
InceptionV1,mixed5a,14,10
InceptionV1,mixed5a,15,22
InceptionV1,mixed5a,16,22
InceptionV1,mixed5a,17,-9
InceptionV1,mixed5a,18,20
InceptionV1,mixed5a,19,-2
InceptionV1,mixed5a,20,18
InceptionV1,mixed5a,21,15
InceptionV1,mixed5a,22,35
InceptionV1,mixed5a,23,22
InceptionV1,mixed5a,24,33
InceptionV1,mixed5a,25,-2
InceptionV1,mixed5a,26,48
InceptionV1,mixed5a,27,39
InceptionV1,mixed5a,28,20
InceptionV1,mixed5a,29,9
InceptionV1,mixed5a,30,23
InceptionV1,mixed5a,31,-13
InceptionV1,mixed5a,32,2
InceptionV1,mixed5a,33,61
InceptionV1,mixed5a,34,33
InceptionV1,mixed5a,35,19
InceptionV1,mixed5a,36,8
InceptionV1,mixed5a,37,16
InceptionV1,mixed5a,38,18
InceptionV1,mixed5a,39,81
InceptionV1,mixed5a,40,-12
InceptionV1,mixed5a,41,18
InceptionV1,mixed5a,42,44
InceptionV1,mixed5a,43,-18
InceptionV1,mixed5a,44,43
InceptionV1,mixed5a,45,12
InceptionV1,mixed5a,46,62
InceptionV1,mixed5a,47,23
InceptionV1,mixed5a,48,48
InceptionV1,mixed5a,49,16
InceptionV1,mixed5a,50,32
InceptionV1,mixed5a,51,26
InceptionV1,mixed5a,52,34
InceptionV1,mixed5a,53,56
InceptionV1,mixed5a,54,-17
InceptionV1,mixed5a,55,19
InceptionV1,mixed5a,56,31
InceptionV1,mixed5a,57,58
InceptionV1,mixed5a,58,30
InceptionV1,mixed5a,59,-17
InceptionV1,mixed5a,60,41
InceptionV1,mixed5a,61,9
InceptionV1,mixed5a,62,13
InceptionV1,mixed5a,63,29
InceptionV1,mixed5a,64,11
InceptionV1,mixed5a,65,15
InceptionV1,mixed5a,66,2
InceptionV1,mixed5a,67,13
InceptionV1,mixed5a,68,-3
InceptionV1,mixed5a,69,-7
InceptionV1,mixed5a,70,28
InceptionV1,mixed5a,71,-1
InceptionV1,mixed5a,72,36
InceptionV1,mixed5a,73,17
InceptionV1,mixed5a,74,24
InceptionV1,mixed5a,75,4
InceptionV1,mixed5a,76,22
InceptionV1,mixed5a,77,3
InceptionV1,mixed5a,78,22
InceptionV1,mixed5a,79,21
InceptionV1,mixed5a,80,-9
InceptionV1,mixed5a,81,-9
InceptionV1,mixed5a,82,10
InceptionV1,mixed5a,83,43
InceptionV1,mixed5a,84,26
InceptionV1,mixed5a,85,7
InceptionV1,mixed5a,86,8
InceptionV1,mixed5a,87,68
InceptionV1,mixed5a,88,18
InceptionV1,mixed5a,89,13
InceptionV1,mixed5a,90,34
InceptionV1,mixed5a,91,41
InceptionV1,mixed5a,92,6
InceptionV1,mixed5a,93,16
InceptionV1,mixed5a,94,8
InceptionV1,mixed5a,95,2
InceptionV1,mixed5a,96,30
InceptionV1,mixed5a,97,14
InceptionV1,mixed5a,98,26
InceptionV1,mixed5a,99,-5
InceptionV1,mixed5a,100,14
InceptionV1,mixed5a,101,6
InceptionV1,mixed5a,102,6
InceptionV1,mixed5a,103,20
InceptionV1,mixed5a,104,24
InceptionV1,mixed5a,105,31
InceptionV1,mixed5a,106,62
InceptionV1,mixed5a,107,27
InceptionV1,mixed5a,108,3
InceptionV1,mixed5a,109,37
InceptionV1,mixed5a,110,38
InceptionV1,mixed5a,111,9
InceptionV1,mixed5a,112,36
InceptionV1,mixed5a,113,39
InceptionV1,mixed5a,114,12
InceptionV1,mixed5a,115,28
InceptionV1,mixed5a,116,32
InceptionV1,mixed5a,117,-2
InceptionV1,mixed5a,118,16
InceptionV1,mixed5a,119,7
InceptionV1,mixed5a,120,32
InceptionV1,mixed5a,121,32
InceptionV1,mixed5a,122,10
InceptionV1,mixed5a,123,12
InceptionV1,mixed5a,124,10
InceptionV1,mixed5a,125,21
InceptionV1,mixed5a,126,25
InceptionV1,mixed5a,127,20
InceptionV1,mixed5a,128,-2
InceptionV1,mixed5a,129,24
InceptionV1,mixed5a,130,21
InceptionV1,mixed5a,131,44
InceptionV1,mixed5a,132,20
InceptionV1,mixed5a,133,19
InceptionV1,mixed5a,134,-4
InceptionV1,mixed5a,135,30
InceptionV1,mixed5a,136,21
InceptionV1,mixed5a,137,30
InceptionV1,mixed5a,138,27
InceptionV1,mixed5a,139,14
InceptionV1,mixed5a,140,13
InceptionV1,mixed5a,141,13
InceptionV1,mixed5a,142,29
InceptionV1,mixed5a,143,64
InceptionV1,mixed5a,144,29
InceptionV1,mixed5a,145,29
InceptionV1,mixed5a,146,11
InceptionV1,mixed5a,147,32
InceptionV1,mixed5a,148,57
InceptionV1,mixed5a,149,43
InceptionV1,mixed5a,150,38
InceptionV1,mixed5a,151,-4
InceptionV1,mixed5a,152,15
InceptionV1,mixed5a,153,12
InceptionV1,mixed5a,154,32
InceptionV1,mixed5a,155,9
